Codici,ID Prodotto,Nome Prodotto,Produttore,Mese,Anno,Mese - Anno,Q.tà venduta,Canale di vendita
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--3",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,67,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--3",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,12,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO Greco 0,5 ML BIO 2020--2021--3",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,19,
Olio EVO Greco 3 L BIO 2020--2021--3,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,7,
Olio EVO Greco 2020 1 L BIO--2021--3,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,26,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
Olio EVO Blend BIO 1L 2020--2021--3,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,3,2021,marzo 2021,20,
"Olio EVO verdello BIO 0,5L 2020--2021--3",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,3,2021,marzo 2021,10,
Olio EVO Blend BIO 3L 2020--2021--3,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,3,2021,marzo 2021,3,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--3",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,3,2021,marzo 2021,11,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--3",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,3,2021,marzo 2021,19,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--3",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,21,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--3",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,3,2021,marzo 2021,36,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--3",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,67,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--3",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,12,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO Greco 0,5 ML BIO 2020--2021--3",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,19,
Olio EVO Greco 3 L BIO 2020--2021--3,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,7,
Olio EVO Greco 2020 1 L BIO--2021--3,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,3,2021,marzo 2021,26,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
Olio EVO Blend BIO 1L 2020--2021--3,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,3,2021,marzo 2021,20,
"Olio EVO verdello BIO 0,5L 2020--2021--3",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,3,2021,marzo 2021,10,
Olio Virzì EVO Blend BIO 5L 2020--2021--3,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,3,2021,marzo 2021,2,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--3",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,3,2021,marzo 2021,9,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--3",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,3,2021,marzo 2021,11,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--3",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,3,2021,marzo 2021,19,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--3",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,24,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--3",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,3,2021,marzo 2021,7,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--3",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--3",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,3,2021,marzo 2021,22,
Olio EVO Blend 5 L BIO 2020--2021--3,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,3,2021,marzo 2021,1,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--4",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,6,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--4",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--4",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,12,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--4",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,18,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--4",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,30,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--4",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,9,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
Olio EVO Greco 2020 1 L BIO--2021--4,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,17,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
Olio EVO Blend BIO 1L 2020--2021--4,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,18,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
Olio EVO Blend BIO 3L 2020--2021--4,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,3,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--4",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--4",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
Olio EVO Blend 5 L BIO 2020--2021--4,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,4,2021,aprile 2021,6,
Olio EVO Blend 5 L BIO 2020--2021--4,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,4,2021,aprile 2021,6,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--4",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,30,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
Olio EVO Blend BIO 1L 2020--2021--4,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,18,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--4",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--4",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,12,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--4",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,18,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--4",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,30,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--4",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,9,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--4",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,6,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--4",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,4,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
Olio EVO Greco 3 L BIO 2020--2021--4,3062,Olio EVO Greco 3 L BIO 2020,Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,4,
Olio EVO Greco 2020 1 L BIO--2021--4,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,17,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
Olio EVO Blend BIO 1L 2020--2021--4,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,18,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
Olio EVO Blend BIO 3L 2020--2021--4,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,3,
Olio Virzì EVO Blend BIO 5L 2020--2021--4,2290,Olio Virzì EVO Blend BIO 5L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,1,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--4",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
"Olio EVO Gran Cru moresca 0,5L 2020--2021--4",2283,"Olio EVO Gran Cru moresca 0,5L 2020",Frantoi Cutrera SRL,4,2021,aprile 2021,1,
"Olio extravergine di oliva ""Mille"" 2020 250 ml--2021--4",2284,"Olio extravergine di oliva ""Mille"" 2020 250 ml",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
Olio EVO Blend 5 L BIO 2020--2021--4,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,4,2021,aprile 2021,6,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--4",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,30,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L--2021--4",2276,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,12,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L--2021--4",2277,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2020 1L",Agrestis soc.Cooperativa Agricola,4,2021,aprile 2021,18,
"Olio EVO ""Zenia"" 1L BIO 2020--2021--4",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,30,
"Olio EVO ""Zenia"" 750 ml BIO 2020--2021--4",2275,"Olio EVO ""Zenia"" 750 ml BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,9,
"Olio EVO ""Zenia"" 3L BIO 2020--2021--4",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,6,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--4",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,4,2021,aprile 2021,4,
"Olio EVO Greco 0,5 ML BIO 2020--2021--4",3061,"Olio EVO Greco 0,5 ML BIO 2020",Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,13,
Olio EVO Greco 2020 1 L BIO--2021--4,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,17,
Olio EVO Greco 2020 1 L BIO--2021--4,3063,Olio EVO Greco 2020 1 L BIO,Azienda Agricola Greco Società Agricola Semplice,4,2021,aprile 2021,17,
"Olio EVO ""L'olio di Licia"" BIO 1L 2020--2021--4",2272,"Olio EVO ""L'olio di Licia"" BIO 1L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,34,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
Olio EVO Blend BIO 1L 2020--2021--4,2278,Olio EVO Blend BIO 1L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,18,
"Olio EVO verdello BIO 0,5L 2020--2021--4",2279,"Olio EVO verdello BIO 0,5L 2020",Azienda Agricola Virzì,4,2021,aprile 2021,15,
Olio EVO Blend BIO 3L 2020--2021--4,2288,Olio EVO Blend BIO 3L 2020,Azienda Agricola Virzì,4,2021,aprile 2021,3,
"Olio EVO Primo Dop Monti Iblei 0,75L 2020--2021--4",2282,"Olio EVO Primo Dop Monti Iblei 0,75L 2020",Frantoi Cutrera SRL,4,2021,aprile 2021,7,
Olio EVO Blend 5 L BIO 2020--2021--4,3004,Olio EVO Blend 5 L BIO 2020,Società Agricola Semplice Salsello,4,2021,aprile 2021,6,
"Olio EVO ""L'olio di Licia"" BIO 3L 2020--2021--4",2273,"Olio EVO ""L'olio di Licia"" BIO 3L 2020",Azienda Agricola Licia Guccione,4,2021,aprile 2021,14,
"Olio EVO ""Zenia"" 5L BIO 2020--2021--5",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,5,2021,maggio 2021,1,
